Binomial,Area,FID_2,TID,Group,Value,area2
Algyroides fitzingeri,33020.901184,"301",R05291,lizard,"1",33020.897
Algyroides marchi,3536.878961,"302",R05292,lizard,"1",3536.882
Algyroides moreoticus,22702.093976,"303",R05293,lizard,"1",22702.095
Algyroides nigropunctatus,75640.053578,"304",R05294,lizard,"1",75647.509
Alinea berengerae,27.957532,"305",R07030,lizard,"1",27.958
Alinea lanceolata,19.992561,"306",R07031,lizard,"1",19.993
Alinea luciae,617.396506,"307",R07032,lizard,"1",617.397
Alinea pergravis,23.527584,"308",R07033,lizard,"1",23.528
Alligator mississippiensis,934260.424298,"309",R00001,croc,"1",934733.796
Alligator sinensis,116879.787131,"310",R00002,croc,"1",116894.890
Alluaudina bellyi,44946.622582,"311",R05566,snake,"1",44946.645
Alluaudina mocquardi,9.996281,"312",R05567,snake,"1",9.996
Alopoglossus angulatus,6440232.028663,"313",R04887,lizard,"1",6440308.348
Alopoglossus atriventris,1001756.472903,"314",R04888,lizard,"1",1001764.012
Alopoglossus buckleyi,535115.721947,"315",R04889,lizard,"1",535130.943
Alopoglossus copii,42931.797183,"316",R04890,lizard,"1",42932.493
Alopoglossus festae,94193.690459,"317",R04891,lizard,"1",94194.994
Alopoglossus lehmanni,3598.105596,"318",R04892,lizard,"1",3598.106
Alopoglossus viridiceps,416.428661,"319",R04893,lizard,"1",416.429
Alsophis antiguae,10.004346,"320",R02631,snake,"1",10.004
Alsophis antillensis,1185.548595,"321",R02632,snake,"1",1185.548
Alsophis danforthi,7.503743,"322",R02633,snake,"1",7.504
Alsophis manselli,115.125519,"323",R02634,snake,"1",115.130
Alsophis rijgersmaei,161.225969,"324",R02635,snake,"1",161.226
Alsophis rufiventris,310.711953,"325",R02636,snake,"1",310.712
Alsophis sajdaki,0.183476,"326",R02637,snake,"1",0.183
Alsophis sanctonum,6.486436,"327",R02638,snake,"1",6.486
Alsophis sibonius,761.820387,"328",R02639,snake,"1",761.820
Alsophylax przewalskii,863889.343826,"332",R03804,lizard,"1",863749.396
Alsophylax tadjikiensis,45113.086443,"334",R03806,lizard,"1",45110.762
Altiphylax baturensis,4975.912262,"335",R03807,lizard,"1",4975.370
Altiphylax levitoni,25181.783114,"336",R03808,lizard,"1",25181.128
Altiphylax mintoni,2539.302922,"337",R03809,lizard,"1",2539.265
Altiphylax stoliczkai,137019.645323,"338",R03810,lizard,"1",137050.124
Altiphylax tokobajevi,28192.553276,"339",R03811,lizard,"1",28194.943
Altiphylax yarkandensis,19.992561,"340",R03812,lizard,"1",19.993
Amalosia jacovae,81185.977661,"341",R02437,lizard,"1",81186.780
Amalosia lesueurii,289199.071567,"342",R02438,lizard,"1",289196.911
Amalosia obscura,15804.983476,"343",R02439,lizard,"1",15805.069
Amalosia rhombifer,1549694.239894,"344",R02440,lizard,"1",1549704.264
Amapasaurus tetradactylus,121364.090796,"345",R04894,lizard,"1",121364.091
Amastridium sapperi,27953.433728,"346",R02640,snake,"1",27955.786
Amastridium veliferum,17298.278991,"347",R02641,snake,"1",17298.317
Amblyodipsas concolor,94019.265099,"348",R05568,snake,"1",94016.454
Amblyodipsas dimidiata,11769.661025,"349",R05569,snake,"1",11769.719
Amblyodipsas katangensis,174107.032386,"350",R05570,snake,"1",174109.879
Amblyodipsas microphthalma,132745.259620,"351",R05571,snake,"1",132747.063
Amblyodipsas polylepis,3761612.495417,"352",R05572,snake,"1",3761639.310
Amblyodipsas rodhaini,118714.103813,"353",R05573,snake,"1",118715.044
Amblyodipsas teitana,9.996281,"354",R05574,snake,"1",9.996
Amblyodipsas unicolor,4116186.078117,"355",R05575,snake,"1",4117640.992
Amblyodipsas ventrimaculata,756927.794165,"356",R05576,snake,"1",756955.648
Amblyrhynchus cristatus,7990.358188,"357",R05204,lizard,"1",7990.358
Ameiva aggerecusans,2526.411194,"358",R08804,lizard,"1",2526.587
Ameiva ameiva,12354817.033634,"359",R08805,lizard,"1",12354872.477
Ameiva atrata,0.829518,"360",R08806,lizard,"1",0.830
Ameiva atrigularis,15514.604523,"361",R08807,lizard,"1",15514.528
Ameiva auberi,115047.807605,"362",R08808,lizard,"1",115047.811
Ameiva bifrontata,1638710.370452,"363",R08809,lizard,"1",1638713.376
Ameiva chrysolaema,55313.774855,"364",R08810,lizard,"1",55313.774
