Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Eutropis multicarinata,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest,0,1500,Carnivorous,Diurnal,ACT,NA,19.5,69,NA,29.5,NA,oviparous,2.4,1,4,NA,NA,NA,NA,NA,NA
Eutropis multifasciata,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest/Savanna/Shrubland,0,2000,Carnivorous,Diurnal,ACT,5.0,63.1,104.4,NA,38,NA,viviparous,4.9,1,10,2.5,No,No,32.3,NA,NA
Eutropis nagarjuni,Squamata,Scincidae,Eutropis,Oriental,Saxicolous/Terrestrial,Forest,120,520,Carnivorous,Diurnal,NA,NA,3.5,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis palauensis,Squamata,Scincidae,Eutropis,Australo-Pacific,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis quadratilobus,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest,NA,NA,Carnivorous,Diurnal,NA,NA,NA,NA,NA,28.9,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis quadricarinata,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest/Shrubland,53,1246,Carnivorous,Diurnal,NA,NA,2.4,50.7,NA,NA,NA,oviparous,3.0,3,3,NA,NA,NA,NA,NA,NA
Eutropis resetarii,Squamata,Scincidae,Eutropis,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis rudis,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest/Shrubland,30,1300,Carnivorous,Diurnal,NA,NA,60.3,82.2,NA,NA,NA,oviparous,2.5,2,4,NA,NA,NA,32.9,NA,NA
Eutropis rugifera,Squamata,Scincidae,Eutropis,Oriental,Arboreal/Terrestrial,Forest,150,1200,Carnivorous,Diurnal,NA,NA,6.2,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Eutropis sahulinghangganan,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis sibalom,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis tammanna,Squamata,Scincidae,Eutropis,Oriental,Saxicolous/Terrestrial,NA,0,300,Carnivorous,Diurnal,NA,NA,3.5,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Eutropis trivittata,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest/Shrubland,500,1200,Carnivorous,Cathemeral,NA,NA,38.9,82,NA,NA,NA,oviparous,9.0,3,15,NA,NA,NA,NA,NA,NA
Eutropis tytleri,Squamata,Scincidae,Eutropis,Oriental,Arboreal/Terrestrial,Forest,NA,NA,Carnivorous,Diurnal,NA,NA,212.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutropis vertebralis,Squamata,Scincidae,Eutropis,Oriental,Terrestrial,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exila nigropalmata,Squamata,Scincidae,Exila,Neotropic,Arboreal/Terrestrial,Forest,150,2200,NA,Diurnal,NA,NA,8.9,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exiliboa placata,Squamata,Boidae,Exiliboa,Neotropic,Fossorial,Forest,2000,2450,NA,NA,NA,NA,54.6,NA,NA,NA,NA,viviparous,12.0,NA,NA,NA,No,No,NA,NA,NA
Farancia abacura,Squamata,Colubridae,Farancia,Nearctic,Semi-Aquatic,Wetlands,0,300,NA,Nocturnal,NA,19.0,1067.3,NA,NA,NA,NA,oviparous,25.6,NA,NA,NA,NA,NA,NA,NA,NA
Farancia erytrogramma,Squamata,Colubridae,Farancia,Nearctic,Semi-Aquatic,Wetlands,0,150,NA,NA,NA,NA,680.1,NA,NA,NA,NA,oviparous,32.3,NA,NA,NA,NA,NA,NA,NA,NA
Ferania sieboldii,Squamata,Homalopsidae,Ferania,Oriental,Aquatic,Wetlands,NA,NA,NA,NA,NA,NA,271.5,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Feylinia boulengeri,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial,Forest,NA,NA,Carnivorous,Cathemeral,AMB,NA,2.5,NA,NA,43,NA,viviparous,2.0,2,2,NA,No,No,NA,NA,NA
Feylinia currori,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial/Terrestrial,Forest/Savanna,0,1200,Carnivorous,Diurnal,NA,NA,41.7,250,NA,122,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feylinia elegans,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial,Forest/Savanna,360,900,NA,NA,NA,NA,5.5,NA,NA,NA,NA,viviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Feylinia grandisquamis,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial,Forest,0,20,NA,NA,NA,NA,5.4,99.5,NA,NA,NA,viviparous,2.8,2,4,NA,NA,NA,NA,NA,NA
Feylinia macrolepis,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial,Savanna,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feylinia polylepis,Squamata,Scincidae,Feylinia,Afrotropic,Fossorial,Forest,0,700,NA,NA,NA,NA,7.2,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia hardyi,Squamata,Colubridae,Ficimia,Neotropic,Fossorial,Forest/Shrubland,1500,2100,NA,NA,NA,NA,8.6,NA,NA,NA,NA,oviparous,4.0,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia olivacea,Squamata,Colubridae,Ficimia,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia publia,Squamata,Colubridae,Ficimia,Neotropic,Fossorial/Terrestrial,Forest,0,1000,NA,NA,NA,NA,16.4,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia ramirezi,Squamata,Colubridae,Ficimia,Neotropic,Fossorial,Forest,500,1000,NA,NA,NA,NA,6.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia ruspator,Squamata,Colubridae,Ficimia,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia streckeri,Squamata,Colubridae,Ficimia,Nearctic,Fossorial/Terrestrial,Forest/Shrubland,0,1500,NA,NA,NA,NA,18.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficimia variegata,Squamata,Colubridae,Ficimia,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbrios klossi,Squamata,Xenodermidae,Fimbrios,Oriental,Semi-Aquatic,Forest,1000,1500,NA,NA,NA,NA,19.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbrios smithi,Squamata,Xenodermidae,Fimbrios,Oriental,Aquatic,Forest,NA,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps alluaudi,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps andranovahensis,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps ardouini,Squamata,Scincidae,Flexiseps,Madagascan,Terrestrial,NA,413,631,NA,Diurnal,NA,NA,11.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps crenni,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,1000,1100,NA,NA,NA,NA,18.6,157,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps decaryi,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps elongatus,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps johannae,Squamata,Scincidae,Flexiseps,Madagascan,Fossorial,NA,413,631,NA,NA,NA,NA,5.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps mandokava,Squamata,Scincidae,Flexiseps,Madagascan,Semi-Aquatic,NA,300,350,NA,NA,NA,NA,20.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps melanurus,Squamata,Scincidae,Flexiseps,Madagascan,Terrestrial,NA,470,1600,NA,Diurnal,NA,NA,30.9,63,NA,NA,NA,oviparous,6.0,6,6,NA,NA,NA,NA,NA,NA
Flexiseps meva,Squamata,Scincidae,Flexiseps,Madagascan,Terrestrial,NA,800,1150,NA,NA,NA,NA,79.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps ornaticeps,Squamata,Scincidae,Flexiseps,Madagascan,Semi-Aquatic,NA,120,1150,NA,Cathemeral,NA,NA,1.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps stylus,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,NA,NA,NA,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps tanysoma,Squamata,Scincidae,Flexiseps,Madagascan,Terrestrial,NA,NA,NA,NA,Cathemeral,NA,NA,5.9,103,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps tsaratananensis,Squamata,Scincidae,Flexiseps,Madagascan,NA,NA,1000,1600,NA,NA,NA,NA,12.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexiseps valhallae,Squamata,Scincidae,Flexiseps,Afrotropic,NA,Forest,NA,NA,Carnivorous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fojia bumui,Squamata,Scincidae,Fojia,Australo-Pacific,Semi-Aquatic,NA,75,650,Carnivorous,Cathemeral,AMB,NA,3.9,53.5,NA,27,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Fordonia leucobalia,Squamata,Homalopsidae,Fordonia,Australo-Pacific,Aquatic,Marine Neritic,0,10,NA,NA,NA,NA,666.8,491,512,NA,NA,viviparous,6.1,NA,NA,NA,No,No,NA,NA,NA
Fowlea asperrima,Squamata,Colubridae,Fowlea,Oriental,Aquatic,Forest,0,1500,NA,NA,NA,NA,195.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea flavipunctata,Squamata,Colubridae,Fowlea,Oriental,Semi-Aquatic,Forest/Grassland,100,1500,Carnivorous,NA,ACT,NA,518.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea melanzosta,Squamata,Colubridae,Fowlea,Oriental,NA,NA,NA,NA,NA,NA,NA,9.0,283.8,NA,NA,NA,NA,oviparous,27.0,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea piscator,Squamata,Colubridae,Fowlea,Oriental,Semi-Aquatic,Wetlands,0,3000,Carnivorous,Cathemeral,ACT,9.0,1819.7,NA,970,NA,NA,oviparous,34.5,11,88,NA,24.0,15.0,NA,NA,NA
Fowlea punctulata,Squamata,Colubridae,Fowlea,Oriental,Semi-Aquatic,Forest,NA,NA,NA,NA,NA,NA,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea sanctijohannis,Squamata,Colubridae,Fowlea,Oriental,Aquatic,Wetlands,400,1400,NA,NA,NA,9.0,389.0,NA,NA,NA,NA,oviparous,27.0,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea schnurrenbergeri,Squamata,Colubridae,Fowlea,Saharo-Sindian,Semi-Aquatic,Forest/Wetlands,NA,NA,NA,NA,NA,9.0,195.0,NA,NA,NA,NA,oviparous,25.0,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea unicolor,Squamata,Colubridae,Fowlea,Oriental,Semi-Aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fowlea yunnanensis,Squamata,Colubridae,Fowlea,Oriental,Aquatic,Wetlands,188,1573,Carnivorous,NA,ACT,NA,109.7,221,NA,NA,NA,oviparous,20.0,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer angeli,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,NA,NA,NA,NA,NA,NA,81.3,104.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer antimena,Squamata,Chamaeleonidae,Furcifer,Madagascan,Terrestrial,Forest/Shrubland,0,20,NA,Cathemeral,NA,NA,95.5,83.5,NA,NA,NA,oviparous,15.5,8,23,NA,NA,NA,NA,NA,NA
Furcifer balteatus,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,102.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer belalandaensis,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,NA,0,20,NA,Diurnal,NA,NA,38.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer bifidus,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,NA,NA,NA,NA,NA,NA,147.9,125,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer campani,Squamata,Chamaeleonidae,Furcifer,Madagascan,Terrestrial,Grassland/Shrubland,1800,2400,NA,NA,NA,NA,8.9,52.5,NA,16.5,NA,oviparous,15.0,4,26,NA,NA,NA,NA,NA,NA
Furcifer cephalolepis,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,296,811,NA,Diurnal,NA,NA,11.5,NA,NA,NA,NA,oviparous,5.5,4,7,NA,NA,NA,NA,NA,NA
Furcifer labordi,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Shrubland,20,60,Carnivorous,Diurnal,NA,1.4,64.6,72.2,NA,22.5,NA,oviparous,9.0,8,12,1.0,NA,NA,NA,NA,NA
Furcifer lateralis,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal/Saxicolous/Terrestrial,Grassland/Savanna,0,2000,Omnivorous,Diurnal,NA,3.0,56.2,69.5,NA,28.5,NA,oviparous,13.5,4,23,4.0,NA,NA,NA,NA,NA
Furcifer major,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest/Grassland/Savanna/Shrubland,26,1257,NA,NA,NA,NA,35.5,NA,NA,NA,NA,oviparous,13.5,13,14,NA,NA,NA,NA,NA,NA
Furcifer minor,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,900,1400,Carnivorous,Diurnal,NA,2.0,22.9,68,NA,NA,NA,oviparous,12.0,8,16,NA,NA,NA,NA,NA,NA
Furcifer monoceras,Squamata,Chamaeleonidae,Furcifer,Madagascan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer nicosiai,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,0,130,NA,Diurnal,NA,NA,63.1,90,NA,NA,NA,oviparous,45.0,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer oustaleti,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest/Grassland/Savanna/Shrubland,0,1300,Omnivorous,Diurnal,NA,5.0,436.5,233.5,NA,43.6,NA,oviparous,42.0,30,66,1.5,NA,NA,NA,NA,NA
Furcifer pardalis,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest/Shrubland,20,980,Omnivorous,Diurnal,AMB,6.0,269.2,102.7,NA,37,NA,oviparous,30.0,10,50,4.0,NA,NA,31.7,NA,NA
Furcifer petteri,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,120,1300,Carnivorous,Diurnal,NA,NA,17.4,64,NA,NA,NA,oviparous,13.5,11,16,NA,NA,NA,NA,NA,NA
Furcifer polleni,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,296,811,Carnivorous,NA,NA,5.0,25.7,61.5,NA,NA,NA,oviparous,9.0,6,12,NA,NA,NA,NA,NA,NA
Furcifer rhinoceratus,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal/Terrestrial,Forest,NA,NA,NA,Nocturnal,NA,NA,60.3,67.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer timoni,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,750,900,NA,Diurnal,NA,NA,20.9,95.3,NA,NA,NA,oviparous,12.3,10,14,NA,NA,NA,NA,NA,NA
Furcifer tuzetae,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,100.0,NA,NA,NA,NA,oviparous,40.0,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer verrucosus,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest/Savanna/Shrubland,NA,NA,Carnivorous,Diurnal,NA,4.0,316.2,106.6,NA,27,NA,oviparous,34.5,11,58,NA,NA,NA,NA,NA,NA
Furcifer viridis,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest/Grassland/Shrubland,0,1300,NA,NA,NA,NA,38.0,81,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer voeltzkowi,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,NA,10,40,NA,NA,NA,NA,34.7,NA,NA,NA,NA,oviparous,11.5,NA,NA,NA,NA,NA,NA,NA,NA
Furcifer willsii,Squamata,Chamaeleonidae,Furcifer,Madagascan,Arboreal,Forest,900,1300,Carnivorous,NA,NA,NA,13.5,62.5,NA,NA,NA,oviparous,11.5,8,15,NA,NA,NA,NA,NA,NA
Furina barnardi,Squamata,Elapidae,Furina,Australo-Pacific,Terrestrial,Forest/Rocky,NA,NA,NA,NA,NA,NA,47.6,288,440,NA,NA,oviparous,8.3,NA,NA,NA,NA,NA,NA,NA,NA
Furina diadema,Squamata,Elapidae,Furina,Australo-Pacific,Terrestrial,Forest/Grassland/Savanna/Shrubland,2,1006,NA,NA,NA,NA,27.8,243,270.5,NA,NA,oviparous,3.1,NA,NA,NA,NA,NA,NA,NA,NA
Furina dunmalli,Squamata,Elapidae,Furina,Australo-Pacific,Terrestrial,Forest/Shrubland,NA,NA,NA,NA,NA,NA,106.9,NA,NA,NA,NA,oviparous,4.3,NA,NA,NA,NA,NA,NA,NA,NA
Furina ornata,Squamata,Elapidae,Furina,Australo-Pacific,Terrestrial,Forest/Grassland/Savanna/Shrubland,0,1020,NA,NA,NA,NA,106.9,291,365,NA,NA,oviparous,4.3,NA,NA,NA,NA,NA,NA,NA,NA
Furina tristis,Squamata,Elapidae,Furina,Australo-Pacific,Fossorial/Terrestrial,Forest/Grassland/Shrubland,0,500,NA,NA,NA,NA,252.3,609,584,NA,NA,oviparous,6.0,NA,NA,NA,NA,NA,NA,NA,NA
Gallotia atlantica,Squamata,Lacertidae,Gallotia,Afrotropic,Saxicolous/Terrestrial,Forest/Rocky/Shrubland,0,800,Omnivorous,Diurnal,ACT,15.0,28.8,61,NA,30.1,NA,oviparous,2.2,1,6,2.0,NA,NA,33.4,NA,NA
Gallotia auaritae,Squamata,Lacertidae,Gallotia,Afrotropic,Terrestrial,NA,NA,NA,Herbivorous,Diurnal,NA,NA,1859.6,NA,NA,NA,NA,NA,10.0,10,10,NA,NA,NA,NA,NA,NA
Gallotia bravoana,Squamata,Lacertidae,Gallotia,Afrotropic,Terrestrial,Rocky/Shrubland,250,800,Herbivorous,Diurnal,NA,6.0,208.9,117.8,NA,44.1,NA,oviparous,5.0,2,8,1.0,NA,NA,36.0,NA,NA
Gallotia caesaris,Squamata,Lacertidae,Gallotia,Afrotropic,Saxicolous/Terrestrial,Forest/Rocky/Shrubland,0,1500,Omnivorous,Diurnal,ACT,12.0,30.9,73,NA,33.2,NA,oviparous,3.2,1,5,1.5,NA,NA,35.5,NA,NA
Gallotia galloti,Squamata,Lacertidae,Gallotia,Afrotropic,Saxicolous/Terrestrial,Forest/Grassland/Rocky/Shrubland,0,3000,Herbivorous,Diurnal,NA,15.0,69.2,87.7,NA,37.5,NA,oviparous,4.1,2,9,1.5,NA,NA,32.6,NA,NA
Gallotia intermedia,Squamata,Lacertidae,Gallotia,Afrotropic,Saxicolous,Rocky/Shrubland,20,30,Omnivorous,Diurnal,NA,10.4,117.5,136.5,NA,50.4,NA,oviparous,7.4,7,8,NA,NA,NA,NA,NA,NA
Gallotia simonyi,Squamata,Lacertidae,Gallotia,Afrotropic,Terrestrial,Rocky/Shrubland,80,1130,Herbivorous,Diurnal,NA,45.0,2691.5,159.7,NA,51,NA,oviparous,10.2,4,13,1.5,NA,NA,34.4,NA,NA
Gallotia stehlini,Squamata,Lacertidae,Gallotia,Afrotropic,Terrestrial,Rocky/Shrubland,0,1950,Herbivorous,Diurnal,NA,13.0,1096.5,185.9,NA,43.5,NA,oviparous,10.1,4,16,1.0,NA,NA,33.6,NA,NA
Galvarinus attenuatus,Squamata,Colubridae,Galvarinus,Neotropic,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,42.7,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Galvarinus chilensis,Squamata,Colubridae,Galvarinus,Neotropic,Semi-Aquatic,NA,0,2000,NA,NA,NA,NA,86.9,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Galvarinus tarmensis,Squamata,Colubridae,Galvarinus,Neotropic,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Gambelia copeii,Squamata,Crotaphytidae,Gambelia,Nearctic,Terrestrial,Desert/Savanna/Shrubland,500,900,Carnivorous,Diurnal,NA,NA,69.2,103.5,NA,NA,NA,oviparous,5.0,3,11,NA,NA,NA,NA,NA,NA
Gambelia sila,Squamata,Crotaphytidae,Gambelia,Nearctic,Terrestrial,Grassland/Shrubland,30,730,Carnivorous,Diurnal,Mixed,5.0,57.5,97.5,NA,45,NA,oviparous,3.2,1,6,2.5,NA,NA,38.6,NA,NA
Gambelia wislizenii,Squamata,Crotaphytidae,Gambelia,Nearctic,Terrestrial,Desert/Shrubland,0,2100,Carnivorous,Diurnal,AMB,9.8,74.1,110.5,NA,44,NA,oviparous,5.1,1,14,1.3,NA,NA,38.3,NA,NA
Garthia gaudichaudii,Squamata,Phyllodactylidae,Garthia,Neotropic,Saxicolous,NA,0,800,Carnivorous,Nocturnal,NA,5.2,2.8,37,NA,15,NA,oviparous,1.5,1,2,NA,NA,NA,24.5,NA,NA
Garthia penai,Squamata,Phyllodactylidae,Garthia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Nocturnal,NA,NA,1.0,31.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garthius chaseni,Squamata,Viperidae,Garthius,Oriental,Terrestrial,Forest,910,1550,NA,NA,NA,NA,177.0,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Gastropholis echinata,Squamata,Lacertidae,Gastropholis,Afrotropic,Arboreal,Forest,NA,NA,Carnivorous,Diurnal,NA,NA,22.9,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastropholis prasina,Squamata,Lacertidae,Gastropholis,Afrotropic,Arboreal,Forest/Shrubland,0,1200,Carnivorous,Diurnal,NA,NA,30.2,NA,NA,NA,NA,oviparous,4.5,4,5,NA,NA,NA,NA,NA,NA
Gastropholis tropidopholis,Squamata,Lacertidae,Gastropholis,Afrotropic,Arboreal,Forest,NA,NA,Carnivorous,Diurnal,NA,NA,35.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastropholis vittata,Squamata,Lacertidae,Gastropholis,Afrotropic,Arboreal/Terrestrial,Forest/Shrubland,0,600,Carnivorous,Diurnal,NA,NA,29.5,78,NA,NA,NA,oviparous,NA,NA,NA,1.0,NA,NA,NA,NA,NA
Gavialis gangeticus,Crocodilia,Gavialidae,Gavialis,Oriental,Arboreal/Saxicolous/Terrestrial,Wetlands,0,750,Carnivorous,Diurnal,ACT,100.00,806101.0,NA,NA,141,160.0,oviparous,38.9,20,97,NA,NA,NA,27.0,NA,NA
Geagras redimitus,Squamata,Colubridae,Geagras,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geckolepis humbloti,Squamata,Gekkonidae,Geckolepis,Madagascan,Arboreal,NA,10,640,Omnivorous,Nocturnal,NA,NA,5.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geckolepis maculata,Squamata,Gekkonidae,Geckolepis,Madagascan,Arboreal,Forest,514,1006,Omnivorous,Nocturnal,NA,NA,10.0,NA,NA,25,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Geckolepis megalepis,Squamata,Gekkonidae,Geckolepis,Madagascan,Arboreal,NA,120,150,NA,Nocturnal,NA,NA,6.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
